comment,"NaturalPoint Trackable Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: Comment, you can ignore this information"
comment,"== info: reports number of trackable definitions and"
comment,"==       total number of exported frames"
comment,"== trackable: Details rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Trackable Count (integer) number of trackables tracked in current frame"
comment,"==    -- Trackable ID, Position, Quaternion Orientation, and Eulers Orientation >for each tracked trackable< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visibile markers in frame"
comment,"==    -- Marker Detail >for each tracked marker< (x,y,z,id)"
comment,"== trackable: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Trackable Marker Location >for each marker in trackable< (x,y,z)"
comment,"==    -- Point Cloud Marker corresponding to each trackable marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,framecount,179
info,trackablecount,0
frame,0,0.00230673,0,3,0.23915729,0.05273305,0.31451559,0,0.04386103,0.07375725,0.02099731,0,0.11476414,0.31633261,0.32362992,0
frame,1,0.01235274,0,3,0.23936009,0.05296102,0.31409627,0,0.04369418,0.07385699,0.02080142,0,0.11473286,0.31639117,0.32316503,0
frame,2,0.02234896,0,3,0.23959444,0.05320248,0.31359828,0,0.04352896,0.07397103,0.02054942,0,0.11468869,0.31641793,0.32272524,0
frame,3,0.03234004,0,3,0.23981488,0.05343937,0.31302643,0,0.04337433,0.07409506,0.02022368,0,0.11468222,0.31648189,0.32213834,0
frame,4,0.04230297,0,3,0.24007206,0.05363961,0.31244418,0,0.04322913,0.07422677,0.01991711,0,0.11463378,0.31651014,0.32163808,0
frame,5,0.05235397,0,3,0.24028572,0.05378234,0.31190655,0,0.04309493,0.07433408,0.01957756,0,0.11459857,0.31650180,0.32115969,0
frame,6,0.06233833,0,3,0.24050808,0.05399015,0.31123200,0,0.04296654,0.07448895,0.01911918,0,0.11456989,0.31654513,0.32059276,0
frame,7,0.07234005,0,3,0.24071094,0.05418414,0.31040972,0,0.04289398,0.07463636,0.01863617,0,0.11455016,0.31655455,0.32007405,0
frame,8,0.08234977,0,3,0.24088681,0.05432454,0.30954239,0,0.04289932,0.07490605,0.01796494,0,0.11452913,0.31656927,0.31955707,0
frame,9,0.09236651,0,3,0.24101481,0.05442837,0.30863541,0,0.04299274,0.07525890,0.01720160,0,0.11451795,0.31656986,0.31905806,0
frame,10,0.10248279,0,3,0.24110934,0.05441936,0.30763495,0,0.04317398,0.07565273,0.01644508,0,0.11449441,0.31653816,0.31853616,0
frame,11,0.11234022,0,3,0.24116409,0.05431972,0.30662745,0,0.04352915,0.07611566,0.01550343,0,0.11447706,0.31650481,0.31799117,0
frame,12,0.12249657,0,3,0.24122620,0.05433881,0.30536836,0,0.04406523,0.07667093,0.01436279,0,0.11446299,0.31648129,0.31744665,0
frame,13,0.13259278,0,3,0.24129546,0.05433461,0.30397326,0,0.04470941,0.07720202,0.01303476,0,0.11447680,0.31647775,0.31690523,0
frame,14,0.14238885,0,3,0.24131840,0.05424963,0.30248240,0,0.04544006,0.07788956,0.01154288,0,0.11446522,0.31648213,0.31633890,0
frame,15,0.15247826,0,3,0.24139023,0.05416656,0.30077454,0,0.04641145,0.07877673,0.00967004,0,0.11446711,0.31653166,0.31579822,0
frame,16,0.16248338,0,3,0.24142848,0.05415286,0.29874015,0,0.04758660,0.07969092,0.00750540,0,0.11446200,0.31657732,0.31534037,0
frame,17,0.17247499,0,3,0.24144410,0.05400630,0.29650879,0,0.04897746,0.08058459,0.00502123,0,0.11447316,0.31666574,0.31489050,0
frame,18,0.18248101,0,3,0.24133271,0.05382665,0.29393721,0,0.05047841,0.08128281,0.00219083,0,0.11443472,0.31672207,0.31454641,0
