Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.171000    0.07    0.07    0.02
0.172000    0.08    0.07    0.02
0.173000    0.09    0.07    0.01
0.174000    0.10    0.07    0.00
0.175000    0.10    0.07   -0.00
0.176000    0.10    0.07   -0.00
0.177000    0.09    0.07    0.00
0.178000    0.10    0.07    0.00
0.179000    0.09    0.07   -0.00
0.180000    0.09    0.07    0.01
0.181000    0.09    0.08    0.01
0.182000    0.10    0.09    0.01
0.183000    0.10    0.09    0.02
0.184000    0.09    0.09    0.02
0.185000    0.09    0.09    0.02
0.186000    0.08    0.08    0.02
0.187000    0.08    0.08    0.02
0.188000    0.08    0.08    0.02
0.189000    0.09    0.08    0.01
0.190000    0.10    0.08    0.00
0.191000    0.11    0.08   -0.00
0.192000    0.11    0.08   -0.01
0.193000    0.13    0.08   -0.02
0.194000    0.13    0.08   -0.03
0.195000    0.14    0.08   -0.04
0.196000    0.15    0.09   -0.04
0.197000    0.15    0.09   -0.03
0.198000    0.15    0.09   -0.03
0.199000    0.15    0.09   -0.03
0.200000    0.15    0.10   -0.03
0.201000    0.15    0.10   -0.03
0.202000    0.16    0.11   -0.03
0.203000    0.15    0.11   -0.02
0.204000    0.14    0.11   -0.01
0.205000    0.12    0.10   -0.00
0.206000    0.12    0.09   -0.00
0.207000    0.12    0.09   -0.00
0.208000    0.12    0.10    0.00
0.209000    0.13    0.10    0.00
0.210000    0.13    0.10   -0.00
0.211000    0.13    0.09   -0.02
0.212000    0.13    0.08   -0.03
0.213000    0.14    0.09   -0.03
0.214000    0.15    0.10   -0.04
0.215000    0.17    0.11   -0.03
0.216000    0.17    0.11   -0.04
0.217000    0.19    0.11   -0.04
0.218000    0.19    0.11   -0.04
0.219000    0.17    0.11   -0.04
0.220000    0.17    0.11   -0.03
0.221000    0.17    0.12   -0.03
0.222000    0.17    0.12   -0.03
0.223000    0.17    0.12   -0.02
0.224000    0.17    0.13   -0.02
0.225000    0.18    0.14   -0.02
0.226000    0.18    0.14   -0.02
0.227000    0.18    0.14   -0.02
0.228000    0.18    0.14   -0.02
0.229000    0.19    0.14   -0.03
0.230000    0.20    0.14   -0.03
0.231000    0.20    0.14   -0.04
0.232000    0.20    0.14   -0.05
0.233000    0.20    0.13   -0.06
0.234000    0.21    0.13   -0.06
0.235000    0.22    0.13   -0.07
0.236000    0.22    0.13   -0.07
0.237000    0.22    0.13   -0.07
0.238000    0.22    0.13   -0.06
0.239000    0.21    0.13   -0.06
0.240000    0.21    0.14   -0.05
0.241000    0.20    0.15   -0.04
0.242000    0.20    0.15   -0.04
0.243000    0.20    0.15   -0.03
0.244000    0.19    0.15   -0.02
0.245000    0.19    0.15   -0.02
0.246000    0.18    0.15   -0.02
0.247000    0.18    0.14   -0.02
0.248000    0.17    0.13   -0.02
0.249000    0.18    0.14   -0.03
0.250000    0.19    0.13   -0.03
0.251000    0.19    0.13   -0.04
0.252000    0.18    0.12   -0.04
0.253000    0.19    0.12   -0.05
0.254000    0.19    0.12   -0.04
0.255000    0.20    0.14   -0.04
0.256000    0.21    0.15   -0.04
0.257000    0.21    0.15   -0.04
0.258000    0.21    0.15   -0.04
0.259000    0.21    0.16   -0.04
0.260000    0.21    0.16   -0.03
0.261000    0.20    0.16   -0.02
0.262000    0.19    0.16   -0.01
0.263000    0.19    0.16   -0.00
0.264000    0.18    0.16   -0.00
0.265000    0.17    0.15    0.00
0.266000    0.16    0.14    0.00
0.267000    0.15    0.14    0.01
0.268000    0.14    0.13    0.02
0.269000    0.13    0.13    0.02
0.270000    0.12    0.12    0.02
0.271000    0.12    0.12    0.02
0.272000    0.11    0.11    0.02
0.273000    0.10    0.10    0.02
0.274000    0.10    0.09    0.01
0.275000    0.11    0.09    0.01
0.276000    0.11    0.09    0.00
0.277000    0.10    0.08    0.01
0.278000    0.09    0.08    0.02
0.279000    0.08    0.08    0.02
0.280000    0.07    0.08    0.03
0.281000    0.07    0.08    0.04
0.282000    0.06    0.08    0.05
0.283000    0.05    0.08    0.06
0.284000    0.04    0.08    0.06
0.285000    0.03    0.08    0.06
0.286000    0.03    0.07    0.07
0.287000    0.02    0.06    0.07
0.288000    0.00    0.05    0.07
0.289000    0.00    0.04    0.07
0.290000   -0.01    0.02    0.06
0.291000   -0.01    0.01    0.05
0.292000   -0.01    0.01    0.05
0.293000   -0.01    0.01    0.04
0.294000   -0.01    0.01    0.04
0.295000   -0.02    0.00    0.05
0.296000   -0.02    0.00    0.05
0.297000   -0.02    0.01    0.05
0.298000   -0.03    0.00    0.06
0.299000   -0.05   -0.00    0.07
0.300000   -0.05    0.00    0.07
0.301000   -0.06    0.00    0.09
0.302000   -0.08    0.00    0.10
0.303000   -0.08    0.00    0.11
0.304000   -0.09    0.00    0.11
0.305000   -0.09    0.00    0.11
0.306000   -0.10   -0.00    0.11
0.307000   -0.11   -0.01    0.11
0.308000   -0.11   -0.01    0.12
0.309000   -0.11   -0.01    0.12
0.310000   -0.11   -0.02    0.11
0.311000   -0.11   -0.03    0.11
0.312000   -0.12   -0.04    0.10
0.313000   -0.12   -0.04    0.10
0.314000   -0.11   -0.04    0.09
0.315000   -0.11   -0.04    0.09
0.316000   -0.10   -0.03    0.10
0.317000   -0.10   -0.03    0.09
0.318000   -0.09   -0.02    0.09
0.319000   -0.10   -0.03    0.09
0.320000   -0.10   -0.03    0.09
0.321000   -0.10   -0.03    0.09
0.322000   -0.11   -0.02    0.10
0.323000   -0.11   -0.01    0.11
0.324000   -0.11   -0.01    0.12
0.325000   -0.12   -0.02    0.12
0.326000   -0.12   -0.02    0.12
0.327000   -0.13   -0.02    0.12
0.328000   -0.13   -0.02    0.12
0.329000   -0.12   -0.01    0.12
0.330000   -0.11   -0.02    0.11
0.331000   -0.12   -0.03    0.11
0.332000   -0.12   -0.04    0.10
0.333000   -0.12   -0.05    0.10
0.334000   -0.12   -0.05    0.09
0.335000   -0.12   -0.05    0.09
0.336000   -0.11   -0.06    0.08
0.337000   -0.12   -0.06    0.08
0.338000   -0.12   -0.07    0.08
0.339000   -0.13   -0.07    0.08
0.340000   -0.12   -0.06    0.09
0.341000   -0.12   -0.05    0.10
0.342000   -0.12   -0.04    0.10
0.343000   -0.11   -0.03    0.10
0.344000   -0.11   -0.03    0.11
0.345000   -0.11   -0.02    0.11
0.346000   -0.11   -0.02    0.11
0.347000   -0.11   -0.02    0.11
0.348000   -0.12   -0.02    0.12
0.349000   -0.11   -0.02    0.12
0.350000   -0.11   -0.02    0.11
0.351000   -0.11   -0.03    0.10
0.352000   -0.10   -0.03    0.09
0.353000   -0.10   -0.04    0.08
0.354000   -0.09   -0.04    0.07
0.355000   -0.08   -0.04    0.07
0.356000   -0.07   -0.04    0.07
0.357000   -0.07   -0.03    0.07
0.358000   -0.08   -0.03    0.08
0.359000   -0.09   -0.03    0.08
0.360000   -0.08   -0.02    0.09
0.361000   -0.08   -0.02    0.09
0.362000   -0.09   -0.02    0.10
0.363000   -0.10   -0.02    0.10
0.364000   -0.10   -0.03    0.10
0.365000   -0.11   -0.03    0.10
0.366000   -0.12   -0.03    0.10
0.367000   -0.12   -0.04    0.11
0.368000   -0.12   -0.03    0.11
0.369000   -0.11   -0.03    0.11
0.370000   -0.10   -0.04    0.10
0.371000   -0.11   -0.04    0.10
0.372000   -0.11   -0.05    0.09
0.373000   -0.12   -0.05    0.09
0.374000   -0.11   -0.04    0.09
0.375000   -0.09   -0.03    0.09
0.376000   -0.08   -0.02    0.09
0.377000   -0.07   -0.01    0.09
0.378000   -0.07    0.00    0.09
0.379000   -0.07    0.00    0.09
0.380000   -0.07    0.00    0.10
0.381000   -0.07    0.00    0.09
0.382000   -0.07    0.00    0.09
0.383000   -0.08   -0.00    0.09
0.384000   -0.09   -0.01    0.10
0.385000   -0.10   -0.01    0.10
0.386000   -0.11   -0.02    0.11
0.387000   -0.11   -0.03    0.11
0.388000   -0.12   -0.03    0.11
0.389000   -0.11   -0.02    0.11
0.390000   -0.11   -0.02    0.11
0.391000   -0.10   -0.02    0.10
0.392000   -0.08   -0.02    0.09
0.393000   -0.07   -0.02    0.07
0.394000   -0.07   -0.02    0.07
0.395000   -0.06   -0.01    0.06
0.396000   -0.05   -0.01    0.05
0.397000   -0.04   -0.01    0.06
0.398000   -0.05   -0.01    0.06
0.399000   -0.06   -0.02    0.05
0.400000   -0.07   -0.02    0.06
0.401000   -0.07   -0.02    0.07
0.402000   -0.08   -0.01    0.08
0.403000   -0.08   -0.00    0.09
0.404000   -0.08   -0.00    0.09
0.405000   -0.09   -0.01    0.10
0.406000   -0.09   -0.01    0.10
0.407000   -0.10   -0.02    0.10
0.408000   -0.10   -0.02    0.11
0.409000   -0.09   -0.01    0.11
0.410000   -0.10   -0.01    0.10
0.411000   -0.10   -0.02    0.10
0.412000   -0.09   -0.02    0.09
0.413000   -0.08   -0.02    0.08
0.414000   -0.08   -0.02    0.08
0.415000   -0.07   -0.02    0.08
0.416000   -0.06   -0.01    0.07
0.417000   -0.06   -0.01    0.07
0.418000   -0.06   -0.01    0.07
0.419000   -0.07   -0.02    0.06
0.420000   -0.07   -0.01    0.07
0.421000   -0.07   -0.02    0.07
0.422000   -0.07   -0.01    0.08
0.423000   -0.07   -0.00    0.10
0.424000   -0.08    0.00    0.11
0.425000   -0.08    0.00    0.11
0.426000   -0.08    0.01    0.11
0.427000   -0.08    0.01    0.11
0.428000   -0.08    0.01    0.11
0.429000   -0.06    0.01    0.10
0.430000   -0.06   -0.00    0.09
0.431000   -0.06   -0.01    0.08
0.432000   -0.07   -0.02    0.08
0.433000   -0.06   -0.02    0.07
0.434000   -0.07   -0.03    0.07
0.435000   -0.06   -0.03    0.06
0.436000   -0.05   -0.02    0.06
0.437000   -0.05   -0.01    0.06
0.438000   -0.04   -0.00    0.07
0.439000   -0.05   -0.01    0.07
0.440000   -0.06   -0.01    0.07
0.441000   -0.05   -0.00    0.07
0.442000   -0.04   -0.01    0.07
0.443000   -0.04   -0.01    0.05
0.444000   -0.03   -0.00    0.05
0.445000   -0.05   -0.00    0.07
0.446000   -0.06    0.00    0.08
0.447000   -0.07    0.00    0.09
0.448000   -0.07    0.00    0.10
0.449000   -0.06    0.01    0.11
0.450000   -0.06    0.01    0.10
0.451000   -0.06    0.01    0.10
0.452000   -0.07    0.01    0.10
0.453000   -0.06    0.01    0.10
0.454000   -0.06    0.01    0.10
0.455000   -0.06    0.01    0.09
0.456000   -0.06    0.01    0.09
0.457000   -0.06    0.00    0.09
0.458000   -0.06    0.01    0.09
0.459000   -0.07    0.01    0.09
0.460000   -0.06    0.02    0.10
0.461000   -0.06    0.02    0.11
0.462000   -0.06    0.03    0.11
0.463000   -0.06    0.03    0.11
0.464000   -0.06    0.03    0.11
0.465000   -0.07    0.02    0.10
0.466000   -0.08    0.01    0.10
0.467000   -0.08    0.01    0.10
0.468000   -0.08    0.00    0.10
0.469000   -0.08   -0.00    0.10
0.470000   -0.08   -0.02    0.08
0.471000   -0.08   -0.02    0.08
0.472000   -0.08   -0.03    0.06
0.473000   -0.08   -0.04    0.06
0.474000   -0.07   -0.04    0.05
0.475000   -0.06   -0.03    0.05
0.476000   -0.05   -0.02    0.05
0.477000   -0.04   -0.02    0.05
0.478000   -0.04   -0.01    0.05
0.479000   -0.04   -0.00    0.05
0.480000   -0.03    0.01    0.06
0.481000   -0.03    0.02    0.07
0.482000   -0.04    0.02    0.07
0.483000   -0.03    0.02    0.07
0.484000   -0.04    0.02    0.07
0.485000   -0.04    0.01    0.07
0.486000   -0.05    0.00    0.07
0.487000   -0.05    0.00    0.07
0.488000   -0.05    0.00    0.08
0.489000   -0.05    0.01    0.08
0.490000   -0.05    0.01    0.08
0.491000   -0.05    0.01    0.09
0.492000   -0.05    0.02    0.09
0.493000   -0.05    0.02    0.09
0.494000   -0.05    0.02    0.09
0.495000   -0.04    0.03    0.09
0.496000   -0.02    0.03    0.08
0.497000   -0.02    0.03    0.07
0.498000   -0.01    0.04    0.07
0.499000   -0.03    0.03    0.07
0.500000   -0.03    0.03    0.08
0.501000   -0.03    0.03    0.08
0.502000   -0.03    0.03    0.09
0.503000   -0.04    0.03    0.09
0.504000   -0.05    0.03    0.11
0.505000   -0.06    0.03    0.11
0.506000   -0.06    0.02    0.11
0.507000   -0.07    0.02    0.10
0.508000   -0.06    0.01    0.09
0.509000   -0.05    0.00    0.08
0.510000   -0.05   -0.01    0.07
0.511000   -0.05   -0.02    0.05
0.512000   -0.06   -0.03    0.05
0.513000   -0.05   -0.03    0.05
0.514000   -0.05   -0.03    0.05
0.515000   -0.04   -0.03    0.04
0.516000   -0.03   -0.02    0.04
0.517000   -0.04   -0.01    0.05
0.518000   -0.04   -0.01    0.05
0.519000   -0.06   -0.01    0.07
0.520000   -0.06   -0.00    0.08
0.521000   -0.06    0.00    0.10
0.522000   -0.07    0.00    0.10
0.523000   -0.08    0.00    0.11
0.524000   -0.08    0.01    0.11
0.525000   -0.08    0.00    0.11
0.526000   -0.08    0.01    0.11
0.527000   -0.08    0.00    0.10
0.528000   -0.08   -0.00    0.10
0.529000   -0.06    0.00    0.09
0.530000   -0.06   -0.00    0.08
0.531000   -0.05   -0.01    0.07
0.532000   -0.05   -0.02    0.06
0.533000   -0.04   -0.02    0.04
