Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.180000   -0.00    0.15    0.16
0.181000   -0.01    0.13    0.16
0.182000   -0.03    0.12    0.16
0.183000   -0.04    0.10    0.15
0.184000   -0.07    0.07    0.15
0.185000   -0.08    0.07    0.15
0.186000   -0.07    0.07    0.15
0.187000   -0.06    0.07    0.15
0.188000   -0.06    0.08    0.15
0.189000   -0.05    0.09    0.15
0.190000   -0.03    0.11    0.16
0.191000   -0.02    0.13    0.17
0.192000   -0.01    0.14    0.17
0.193000   -0.01    0.15    0.18
0.194000   -0.01    0.15    0.18
0.195000    0.00    0.17    0.18
0.196000    0.02    0.20    0.19
0.197000    0.06    0.23    0.19
0.198000    0.06    0.24    0.19
0.199000    0.07    0.24    0.18
0.200000    0.06    0.22    0.18
0.201000    0.06    0.22    0.17
0.202000    0.06    0.21    0.17
0.203000    0.06    0.20    0.16
0.204000    0.05    0.19    0.16
0.205000    0.04    0.18    0.16
0.206000    0.04    0.18    0.15
0.207000    0.05    0.18    0.14
0.208000    0.06    0.18    0.14
0.209000    0.05    0.19    0.15
0.210000    0.05    0.19    0.15
0.211000    0.04    0.19    0.16
0.212000    0.02    0.18    0.17
0.213000    0.00    0.17    0.18
0.214000   -0.00    0.17    0.19
0.215000    0.00    0.16    0.18
0.216000   -0.00    0.17    0.18
0.217000    0.00    0.17    0.18
0.218000    0.01    0.17    0.17
0.219000    0.02    0.18    0.16
0.220000    0.03    0.18    0.16
0.221000    0.02    0.18    0.16
0.222000    0.03    0.18    0.15
0.223000    0.04    0.17    0.14
0.224000    0.03    0.16    0.13
0.225000    0.02    0.14    0.13
0.226000   -0.01    0.11    0.13
0.227000   -0.02    0.09    0.13
0.228000   -0.03    0.08    0.12
0.229000   -0.02    0.08    0.12
0.230000   -0.03    0.07    0.11
0.231000   -0.04    0.06    0.12
0.232000   -0.05    0.06    0.13
0.233000   -0.04    0.08    0.14
0.234000   -0.02    0.11    0.15
0.235000    0.00    0.14    0.15
0.236000    0.03    0.17    0.16
0.237000    0.04    0.19    0.16
0.238000    0.05    0.19    0.15
0.239000    0.05    0.19    0.15
0.240000    0.05    0.18    0.15
0.241000    0.03    0.17    0.15
0.242000    0.00    0.14    0.15
0.243000   -0.01    0.11    0.14
0.244000   -0.03    0.09    0.13
0.245000   -0.03    0.09    0.12
0.246000   -0.02    0.09    0.12
0.247000   -0.01    0.09    0.11
0.248000   -0.02    0.08    0.11
0.249000   -0.03    0.06    0.11
0.250000   -0.05    0.05    0.11
0.251000   -0.06    0.03    0.11
0.252000   -0.08    0.01    0.11
0.253000   -0.10    0.00    0.11
0.254000   -0.11    0.00    0.12
0.255000   -0.11    0.00    0.13
0.256000   -0.09    0.03    0.13
0.257000   -0.06    0.06    0.13
0.258000   -0.05    0.07    0.13
0.259000   -0.04    0.09    0.13
0.260000   -0.03    0.09    0.13
0.261000   -0.02    0.09    0.13
0.262000   -0.03    0.09    0.13
0.263000   -0.03    0.09    0.13
0.264000   -0.04    0.08    0.13
0.265000   -0.04    0.07    0.13
0.266000   -0.05    0.06    0.12
0.267000   -0.06    0.04    0.12
0.268000   -0.06    0.03    0.12
0.269000   -0.07    0.03    0.12
0.270000   -0.06    0.04    0.12
0.271000   -0.04    0.07    0.13
0.272000   -0.04    0.08    0.13
0.273000   -0.04    0.08    0.14
0.274000   -0.03    0.09    0.14
0.275000   -0.02    0.10    0.14
0.276000   -0.01    0.11    0.14
0.277000   -0.01    0.11    0.14
0.278000   -0.03    0.10    0.14
0.279000   -0.03    0.10    0.14
0.280000   -0.04    0.09    0.14
0.281000   -0.04    0.08    0.14
0.282000   -0.04    0.08    0.14
0.283000   -0.04    0.08    0.13
0.284000   -0.05    0.08    0.13
0.285000   -0.05    0.07    0.13
0.286000   -0.08    0.04    0.13
0.287000   -0.10    0.01    0.12
0.288000   -0.10    0.00    0.12
0.289000   -0.10    0.01    0.12
0.290000   -0.10    0.01    0.12
0.291000   -0.11    0.00    0.12
0.292000   -0.11   -0.00    0.12
0.293000   -0.11    0.01    0.13
0.294000   -0.08    0.04    0.13
0.295000   -0.06    0.06    0.13
0.296000   -0.05    0.07    0.14
0.297000   -0.04    0.08    0.13
0.298000   -0.04    0.09    0.13
0.299000   -0.04    0.09    0.14
0.300000   -0.04    0.08    0.14
0.301000   -0.06    0.07    0.13
0.302000   -0.07    0.05    0.13
0.303000   -0.09    0.03    0.13
0.304000   -0.10    0.02    0.13
0.305000   -0.09    0.03    0.13
0.306000   -0.07    0.05    0.13
0.307000   -0.06    0.06    0.13
0.308000   -0.06    0.06    0.14
0.309000   -0.07    0.05    0.14
0.310000   -0.08    0.04    0.14
0.311000   -0.08    0.04    0.14
0.312000   -0.08    0.04    0.14
0.313000   -0.08    0.03    0.13
0.314000   -0.07    0.04    0.13
