comment,"NaturalPoint Trackable Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: Comment, you can ignore this information"
comment,"== info: reports number of trackable definitions and"
comment,"==       total number of exported frames"
comment,"== trackable: Details rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Trackable Count (integer) number of trackables tracked in current frame"
comment,"==    -- Trackable ID, Position, Quaternion Orientation, and Eulers Orientation >for each tracked trackable< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visibile markers in frame"
comment,"==    -- Marker Detail >for each tracked marker< (x,y,z,id)"
comment,"== trackable: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Trackable Marker Location >for each marker in trackable< (x,y,z)"
comment,"==    -- Point Cloud Marker corresponding to each trackable marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,framecount,6853
info,trackablecount,0
frame,0,0.00789547,0,5,0.43919238,0.33282790,-0.09835739,0,0.45884138,0.48514754,-0.27591071,0,0.47827148,0.71186447,-0.26753551,0,0.33826622,-0.01805942,-0.03956779,0,0.38043365,0.13934059,0.07062184,0
frame,1,0.01788780,0,5,0.44087306,0.33740473,-0.10987438,0,0.46018219,0.48725909,-0.28851706,0,0.47862381,0.71270311,-0.27319372,0,0.33875811,-0.01433352,-0.03962115,0,0.38251305,0.14916231,0.06269636,0
frame,2,0.02776291,0,5,0.44250998,0.34099171,-0.12151172,0,0.46125025,0.48884463,-0.30124846,0,0.47850981,0.71369088,-0.27847335,0,0.33969235,-0.01018810,-0.04132233,0,0.38354462,0.15813714,0.05399322,0
frame,3,0.03772144,0,5,0.44360137,0.34372705,-0.13336214,0,0.46191376,0.49020806,-0.31367597,0,0.47793326,0.71482086,-0.28362903,0,0.34057716,-0.00636979,-0.04526366,0,0.38429603,0.16598454,0.04508236,0
frame,4,0.04787826,0,5,0.44430017,0.34632453,-0.14507872,0,0.46207255,0.49193153,-0.32597622,0,0.47717285,0.71612608,-0.28883901,0,0.34198046,-0.00281515,-0.05165620,0,0.38477606,0.17312765,0.03639088,0
frame,5,0.05804704,0,5,0.44465470,0.34907532,-0.15630652,0,0.46181583,0.49449116,-0.33761087,0,0.47659355,0.71790391,-0.29409283,0,0.34438050,0.00072172,-0.06006550,0,0.38502130,0.17967704,0.02761900,0
frame,6,0.06786214,0,5,0.44484988,0.35244864,-0.16671504,0,0.46131673,0.49734706,-0.34856209,0,0.47590202,0.72002620,-0.29945600,0,0.34748355,0.00574437,-0.06971818,0,0.38519898,0.18534933,0.01839149,0
frame,7,0.07777614,0,5,0.44453368,0.35608825,-0.17642620,0,0.46064359,0.50067484,-0.35857025,0,0.47499260,0.72253001,-0.30469427,0,0.35005781,0.01213635,-0.08080470,0,0.38487506,0.18991852,0.00891733,0
frame,8,0.08793900,0,5,0.44387537,0.35966539,-0.18548664,0,0.45969367,0.50442088,-0.36769271,0,0.47415489,0.72538650,-0.30978915,0,0.35309815,0.01735669,-0.09498354,0,0.38426465,0.19338325,-0.00078948,0
frame,9,0.09801212,0,5,0.44275594,0.36284345,-0.19430616,0,0.45858136,0.50827610,-0.37587148,0,0.47327718,0.72841299,-0.31436208,0,0.35612771,0.02018226,-0.10901299,0,0.38354921,0.19550054,-0.01075240,0
